season,team,wins,losses,ties
2023,DAL,12,5,0
2004,CAR,7,9,0
2015,CAR,15,1,0
2000,WAS,8,8,0
2009,NYG,8,8,0
2011,WAS,5,11,0
2020,NYG,6,10,0
2022,WAS,8,8,1
2006,CLE,4,12,0
2007,LAC,11,5,0
2018,LAC,12,4,0
2005,NYJ,4,12,0
2004,LAR,8,8,0
2015,LAR,7,9,0
2016,NYJ,5,11,0
2019,SF,13,3,0
2001,BUF,3,13,0
2024,HOU,10,7,0
2006,LV,2,14,0
2006,TB,4,12,0
2019,DET,3,12,1
2004,MIN,8,8,0
2015,MIN,11,5,0
2017,TEN,9,7,0
2019,IND,7,9,0
2008,PHI,9,6,1
2024,NO,5,12,0
2004,PIT,15,1,0
2015,PIT,10,6,0
2004,ATL,11,5,0
2008,GB,6,10,0
2015,ATL,8,8,0
2009,BUF,6,10,0
2020,BUF,13,3,0
2014,SEA,12,4,0
2008,CIN,4,11,1
2007,TEN,10,6,0
2018,TEN,9,7,0
2003,WAS,5,11,0
2006,DAL,9,7,0
2012,BAL,10,6,0
2023,BAL,13,4,0
2010,LAC,9,7,0
2008,NYJ,9,7,0
2021,LA,12,5,0
2000,SF,6,10,0
2011,SF,13,3,0
2022,SF,13,4,0
2000,NE,5,11,0
2011,NE,13,3,0
2022,NE,8,9,0
2000,DET,9,7,0
2011,DET,10,6,0
2022,DET,9,8,0
2007,HOU,8,8,0
2000,IND,10,6,0
2011,IND,2,14,0
2022,IND,4,12,1
2005,NO,3,13,0
2016,NO,7,9,0
2017,CAR,11,5,0
2012,DEN,13,3,0
2023,DEN,8,9,0
2012,JAX,2,14,0
2023,JAX,9,8,0
2017,CLE,0,16,0
2012,CHI,10,6,0
2013,WAS,3,13,0
2023,CHI,7,10,0
2006,SEA,9,7,0
2010,TEN,6,10,0
2017,LV,6,10,0
2001,PHI,11,5,0
2000,MIA,11,5,0
2011,MIA,6,10,0
2017,TB,5,11,0
2019,GB,13,3,0
2004,BAL,9,7,0
2006,KC,9,7,0
2001,ARI,7,9,0
2015,BAL,5,11,0
2003,SF,7,9,0
2007,CAR,7,9,0
2018,CAR,7,9,0
2003,NE,14,2,0
2014,WAS,4,12,0
2012,NYG,9,7,0
2023,NYG,6,11,0
2019,NYJ,7,9,0
2007,LAR,3,13,0
2010,HOU,6,10,0
2003,IND,12,4,0
2017,ATL,10,6,0
2008,NO,8,8,0
2020,PHI,4,11,1
2017,DAL,9,7,0
2007,MIN,8,8,0
2018,MIN,8,7,1
2004,DEN,10,6,0
2009,ARI,10,6,0
2004,JAX,9,7,0
2015,DEN,12,4,0
2015,JAX,5,11,0
2020,ARI,8,8,0
2004,CHI,5,11,0
2015,CHI,6,10,0
2007,PIT,10,6,0
2018,PIT,9,6,1
2003,MIA,10,6,0
2000,GB,9,7,0
2007,ATL,4,12,0
2011,GB,15,1,0
2018,ATL,7,9,0
2012,BUF,6,10,0
2022,GB,8,9,0
2013,DET,7,9,0
2000,CIN,4,12,0
2011,CIN,9,7,0
2018,DAL,10,6,0
2022,CIN,12,4,0
2023,BUF,11,6,0
2010,CAR,2,14,0
2024,BAL,12,5,0
2006,WAS,5,11,0
2004,NYG,6,10,0
2015,NYG,6,10,0
2001,CLE,7,9,0
2002,LAC,8,8,0
2000,NYJ,9,7,0
2010,LAR,7,9,0
2011,NYJ,8,8,0
2022,NYJ,7,10,0
2014,SF,8,8,0
2024,LA,10,7,0
2017,SEA,9,7,0
2019,HOU,10,6,0
2001,LV,10,6,0
2001,TB,9,7,0
2014,DET,11,5,0
2010,MIN,6,10,0
2014,IND,11,5,0
2017,KC,10,6,0
2003,PHI,12,4,0
2019,NO,13,3,0
2010,PIT,12,4,0
2009,CLE,5,11,0
2020,CLE,11,5,0
2021,LAC,9,8,0
2003,GB,10,6,0
2010,ATL,13,3,0
2004,BUF,9,7,0
2012,MIA,7,9,0
2015,BUF,8,8,0
2003,CIN,8,8,0
2023,MIA,11,6,0
2002,TEN,11,5,0
2009,LV,5,11,0
2020,LV,8,8,0
2009,TB,3,13,0
2020,TB,11,5,0
2001,DAL,5,11,0
2007,BAL,5,11,0
2003,NYJ,6,10,0
2016,LA,4,12,0
2006,SF,7,9,0
2006,NE,12,4,0
2006,DET,3,13,0
2002,HOU,4,12,0
2006,IND,12,4,0
2021,TEN,12,5,0
2000,NO,10,6,0
2011,NO,13,3,0
2012,PHI,4,12,0
2022,NO,7,10,0
2023,PHI,11,6,0
2009,DAL,11,5,0
2020,DAL,6,10,0
2007,DEN,7,9,0
2012,ARI,5,11,0
2007,JAX,11,5,0
2013,LAC,9,7,0
2018,JAX,5,11,0
2018,DEN,6,10,0
2007,CHI,7,9,0
2018,CHI,12,4,0
2023,ARI,4,13,0
2001,SEA,9,7,0
2006,MIA,6,10,0
2023,CIN,9,8,0
2014,GB,12,4,0
2021,HOU,4,13,0
2001,KC,6,10,0
2010,BAL,12,4,0
2002,CAR,7,9,0
2007,NYG,10,6,0
2018,NYG,5,11,0
2014,NYJ,4,12,0
2002,LAR,7,9,0
2009,SEA,5,11,0
2020,SEA,12,4,0
2013,TEN,7,9,0
2003,NO,8,8,0
2015,PHI,7,9,0
2002,MIN,6,10,0
2009,KC,4,12,0
2010,DEN,4,12,0
2004,ARI,6,10,0
2010,JAX,8,8,0
2015,ARI,13,3,0
2020,KC,14,2,0
2010,CHI,11,5,0
2017,SF,6,10,0
2021,CAR,5,12,0
2017,NE,13,3,0
2002,PIT,10,5,1
2012,CLE,5,11,0
2023,CLE,11,6,0
2024,LAC,11,6,0
2002,ATL,9,6,1
2006,GB,8,8,0
2013,HOU,2,14,0
2007,BUF,7,9,0
2018,BUF,6,10,0
2017,IND,4,12,0
2006,CIN,8,8,0
2008,DET,0,16,0
2012,LV,4,12,0
2019,BAL,14,2,0
2023,LV,8,9,0
2012,TB,7,9,0
2023,TB,9,8,0
2001,WAS,8,8,0
2010,NYG,10,6,0
2021,MIN,8,9,0
2006,NYJ,10,6,0
2019,LA,9,7,0
2014,HOU,9,7,0
2021,PIT,9,7,1
2017,MIA,6,10,0
2021,ATL,7,10,0
2024,TEN,3,14,0
2014,NO,7,9,0
2009,WAS,4,12,0
2012,DAL,8,8,0
2020,WAS,7,9,0
2004,CLE,4,12,0
2015,CLE,3,13,0
2005,LAC,9,7,0
2016,LAC,5,11,0
2013,LAR,7,9,0
2010,BUF,4,12,0
2007,MIA,1,15,0
2018,MIA,7,9,0
2004,LV,5,11,0
2015,LV,7,9,0
2004,TB,5,11,0
2015,TB,6,10,0
2002,BAL,7,9,0
2013,MIN,5,10,1
2017,PHI,13,3,0
2022,LA,5,12,0
2001,SF,12,4,0
2001,NE,11,5,0
2017,ARI,8,8,0
2013,PIT,8,8,0
2001,DET,2,14,0
2013,ATL,4,12,0
2017,GB,7,9,0
2001,IND,6,10,0
2012,SEA,11,5,0
2017,CIN,7,9,0
2023,SEA,9,8,0
2005,TEN,4,12,0
2016,TEN,9,7,0
2006,NO,10,6,0
2007,PHI,8,8,0
2018,PHI,9,7,0
2004,DAL,6,10,0
2015,DAL,4,12,0
2012,KC,2,14,0
2002,DEN,9,7,0
2007,ARI,8,8,0
2002,JAX,6,10,0
2008,LAC,8,8,0
2018,ARI,3,13,0
2017,NYJ,5,11,0
2002,CHI,4,12,0
2021,BAL,8,9,0
2023,KC,11,6,0
2009,SF,8,8,0
2020,SF,6,10,0
2024,CAR,5,12,0
2009,NE,10,6,0
2020,NE,7,9,0
2020,DET,5,11,0
2001,MIA,11,5,0
2018,CIN,6,10,0
2005,HOU,2,14,0
2016,HOU,9,7,0
2009,IND,14,2,0
2020,IND,11,5,0
2002,NYG,10,6,0
2024,MIN,14,3,0
2021,DEN,7,10,0
2021,JAX,3,14,0
2021,CHI,6,11,0
2004,SEA,9,7,0
2015,SEA,10,6,0
2008,TEN,13,3,0
2024,PIT,10,7,0
2010,PHI,10,6,0
2009,MIA,7,9,0
2020,MIA,10,6,0
2024,ATL,8,9,0
2004,KC,7,9,0
2013,BAL,8,8,0
2010,ARI,5,11,0
2015,KC,11,5,0
2024,DAL,7,10,0
2005,CAR,11,5,0
2016,CAR,6,10,0
2012,WAS,10,6,0
2021,NYG,4,13,0
2023,WAS,4,13,0
2007,CLE,10,6,0
2018,CLE,7,8,1
2019,LAC,5,11,0
2001,GB,12,4,0
2005,LAR,6,10,0
2008,HOU,8,8,0
2002,BUF,8,8,0
2003,DET,5,11,0
2001,CIN,6,10,0
2007,LV,4,12,0
2014,BAL,10,6,0
2018,LV,4,12,0
2007,TB,9,7,0
2018,TB,5,11,0
2005,MIN,9,7,0
2016,MIN,8,8,0
2013,DEN,13,3,0
2001,NYJ,10,6,0
2009,PHI,11,5,0
2013,JAX,4,12,0
2013,CHI,8,8,0
2005,PIT,11,5,0
2016,PIT,11,5,0
2005,ATL,8,8,0
2009,GB,11,5,0
2016,ATL,11,5,0
2020,GB,13,3,0
2021,BUF,11,6,0
2009,CIN,10,6,0
2020,CIN,4,11,1
2019,TEN,9,7,0
2024,KC,15,2,0
2004,WAS,6,10,0
2007,DAL,13,3,0
2013,NYG,7,9,0
2015,WAS,9,7,0
2010,CLE,5,11,0
2000,LAC,1,15,0
2011,LAC,8,8,0
2009,NYJ,9,7,0
2008,LAR,2,14,0
2020,NYJ,2,14,0
2022,LAC,10,7,0
2012,SF,11,4,1
2023,SF,12,5,0
2002,MIA,9,7,0
2012,NE,12,4,0
2023,NE,4,13,0
2010,LV,8,8,0
2010,TB,10,6,0
2012,DET,4,12,0
2023,DET,12,5,0
2022,CAR,7,10,0
2008,MIN,10,6,0
2012,IND,11,5,0
2023,IND,9,8,0
2008,PIT,12,4,0
2024,DEN,10,7,0
2024,JAX,4,13,0
2008,ATL,11,5,0
2024,CHI,5,12,0
2013,BUF,6,10,0
2007,SEA,10,6,0
2018,SEA,10,6,0
2000,TEN,13,3,0
2011,TEN,9,7,0
2001,NO,7,9,0
2022,TEN,7,10,0
2002,PHI,12,4,0
2010,DAL,6,10,0
2005,BAL,6,10,0
2007,KC,4,12,0
2002,ARI,5,11,0
2016,BAL,8,8,0
2003,LAC,4,12,0
2018,KC,12,4,0
2004,SF,2,14,0
2015,SF,5,11,0
2019,CAR,5,11,0
2004,NE,14,2,0
2015,NE,12,4,0
2024,NYG,3,14,0
2015,DET,7,9,0
2002,CIN,2,14,0
2011,HOU,10,6,0
2022,HOU,3,13,1
2004,IND,12,4,0
2015,IND,8,8,0
2009,NO,13,3,0
2020,NO,12,4,0
2021,PHI,9,8,0
2019,MIN,10,6,0
2005,DEN,13,3,0
2016,DEN,9,7,0
2005,JAX,12,4,0
2016,JAX,3,13,0
2021,ARI,11,6,0
2005,CHI,11,5,0
2016,CHI,3,13,0
2017,WAS,7,9,0
2010,SEA,7,9,0
2003,TEN,12,4,0
2019,PIT,8,8,0
2004,MIA,4,12,0
2015,MIA,6,10,0
2012,GB,11,5,0
2019,ATL,7,9,0
2023,GB,9,8,0
2008,BAL,11,5,0
2010,KC,10,6,0
2024,BUF,13,4,0
2012,CIN,10,6,0
2019,DAL,8,8,0
2017,LA,11,5,0
2000,CAR,7,9,0
